"Fragment"	"WithVars"	"MoreHomozygous"	"AUC"
11993	7691	796	92703995.6065397
11829	7587	836	92797318.9208852
12112	7800	911	94410689.5837973
12406	7932	825	85967009.3938268
11674	7587	820	100733627.301456
11526	7522	837	83424313.9158911
11799	7742	769	96199245.1610399
11856	7679	862	90016792.4628491
11610	7556	814	88504456.4874252
11366	7404	841	88952295.7537727
12182	7888	804	99422632.535417
12228	7919	885	86407249.8084332
11937	7642	830	82451492.4008533
11815	7685	796	94882427.1420157
11499	7522	884	88720977.047421
12435	8045	899	86565475.6289581
12247	7930	867	89574298.9277769
11687	7579	881	87402588.2976382
11920	7767	871	102079185.256065
11666	7568	782	93407607.8220053
11840	7643	836	94631798.2303742
11729	7597	858	95538674.6289703
12107	7772	841	97809934.1865923
11909	7598	861	94866922.704842
12205	7884	868	88813216.1752826
12092	7717	781	94123476.4428129
11583	7562	840	87583601.5544726
12040	7789	854	84217093.8134155
12143	7945	924	83966141.8250636
11815	7717	932	94386395.2916237
11522	7461	835	88516876.2547875
11392	7553	868	96537465.8244507
11592	7560	748	88536345.5584979
12015	7848	833	93740584.6612021
11558	7437	850	85999952.3769635
11585	7418	769	87767701.1940139
12106	7894	846	86467399.3731288
11722	7535	847	90577251.6934298
12051	7761	805	88176107.1195365
11717	7560	820	94273243.235365
11932	7729	819	98138149.2115508
11939	7756	842	82988607.2260723
11490	7456	778	87194369.5861494
11965	7800	918	84565191.8864842
12005	7805	862	91111240.387445
12204	7868	860	90188955.6232155
11912	7652	798	84217426.9211354
11782	7590	805	90305489.7676191
11712	7608	817	93502989.3364395
11977	7690	837	91109566.3613404
12299	7947	858	91720354.2506893
12116	7897	922	87479464.4358134
11971	7690	815	86895482.0074662
12001	7770	881	87690368.3344832
11882	7720	882	93372848.7928122
11844	7737	848	85548773.9414717
12067	7744	899	95433829.5868869
11445	7503	794	88373832.4122797
11900	7763	871	100344556.741972
12081	7719	867	93585119.0124765
12335	7878	861	91655413.9367961
11945	7692	884	90401114.7429129
11803	7810	852	94785454.0591413
11862	7703	854	98521194.4462406
11672	7561	806	97276018.0371882
11729	7718	861	90252230.6791664
11679	7521	814	87657525.7233351
11787	7595	820	87399467.7724189
11998	7839	825	90449576.3454446
11664	7620	902	90826541.4181417
11700	7707	882	94476842.8889258
11672	7516	877	89710968.558262
11636	7552	809	100237673.439742
11907	7713	882	86082079.3452004
11762	7566	852	85322281.997346
11801	7664	812	88023788.1169985
11326	7301	727	86891299.2688341
11962	7719	846	86354595.9794996
11551	7536	801	92642015.7150892
11766	7627	818	87596817.9150424
11707	7563	843	84421312.9150388
11958	7831	860	91298737.2019606
12279	7821	954	89360695.236763
11595	7407	853	95098011.2721882
11879	7621	765	92255621.3354466
11388	7386	731	90890511.4340676
11191	7288	769	86493770.2290826
12107	7831	849	83573135.4343604
11660	7560	844	87374267.7869269
11671	7564	865	91873384.4834809
11985	7697	834	90496935.2550991
12330	8105	815	88916316.4953398
11740	7554	851	92111596.4921684
11769	7656	870	88006667.7917844
12022	7723	814	98137704.4191682
12103	7854	829	84571796.0639629
12149	7895	825	94262176.0252366
12142	7869	815	102023292.171186
12094	7717	814	92320566.5461381
12112	7894	847	93510770.4087913
11685	7538	850	82849145.0175172
11908	7736	892	89460733.1239825
11921	7652	906	95005484.4975853
11909	7572	775	103847281.628277
11868	7731	830	88292758.6283034
12155	7892	878	87613676.6573515
11645	7588	866	91948623.5360157
11453	7425	824	92763260.6001362
11560	7490	821	93827227.7518641
12180	7843	895	92606250.438998
11574	7495	829	120118094.972728
12058	7811	877	93685605.634947
11761	7596	818	94648697.1719236
11770	7600	808	83367994.9679721
11804	7660	860	92232043.9233355
12037	7869	877	87731630.597078
11604	7428	856	92508478.899392
11911	7699	861	87590539.2453223
11731	7550	770	90563242.534415
11784	7659	832	88941179.1333449
11796	7755	880	91856749.5454655
11988	7805	824	88181555.5404913
11763	7630	846	83536520.3192036
11761	7618	818	85035698.2383247
11651	7670	823	93870041.47327
12052	7990	869	88204572.9471724
11671	7606	866	97098775.9962946
11559	7452	789	88753481.0251551
12067	7882	926	88603412.6281448
11886	7823	876	87767661.9766421
11829	7734	779	95551442.1117586
11221	7219	795	89330678.292207
11417	7500	873	95064414.7420891
11580	7549	788	92840262.0909203
11649	7644	840	99107165.4601981
12052	7793	808	93494657.8658662
11624	7632	817	93495557.2901052
11731	7518	774	90000350.2868902
11913	7653	840	89169778.676275
12141	7759	915	83383134.1147005
11739	7605	902	86940296.1164832
11678	7630	865	84455094.821041
12165	7889	850	92817937.1280088
11938	7666	790	87026767.5968029
11965	7700	830	96411173.3628367
11855	7660	873	92700505.2400899
12060	7752	871	84713516.6666337
11733	7692	836	90391607.945491
11663	7497	811	83628827.0630442
11855	7697	909	87715679.381526
11657	7511	833	90931311.4710032
11970	7680	856	89558582.575812
12007	7840	865	85961884.1822637
11814	7632	842	92577116.4379218
12113	7887	854	85774564.4533222
11746	7507	792	89303786.6210599
12158	7789	840	92998765.0293863
11942	7827	776	97950779.44383
11631	7677	788	92323522.7065646
11978	7799	832	89836270.8193063
11930	7808	872	90762695.8158994
12119	7819	921	94726919.5258344
11789	7664	859	87238612.8042346
12159	7842	842	86470480.4567357
