"Fragment"	"WithVars"	"MoreHomozygous"	"AUC"
11646	618	35	9698701.90761387
11687	632	32	11408245.1187402
12006	627	30	9103699.59885403
12028	660	37	10418414.8526865
11442	666	31	10522523.432919
11380	567	31	10177015.9831052
12335	650	33	10691542.5553174
11601	627	37	12275943.836576
11881	638	33	10131115.9218055
11090	600	29	13246914.9030913
12217	646	35	10167224.7604848
11946	597	33	8558232.28432136
11789	631	34	10127200.4261833
11854	635	32	11682709.6347901
11906	618	30	7632990.7707052
12046	586	30	8828441.22061897
11550	608	30	10136080.3796572
12083	651	37	11541581.7038826
12018	660	32	11121834.4554654
11934	681	33	9379359.9956693
12023	628	31	8533059.61823219
12190	609	31	10081308.8589206
11843	659	31	11779582.1455726
11792	644	36	11201341.3266186
11871	616	30	10218246.1475887
11827	623	28	11013787.7894094
11829	592	33	10479730.9522031
11013	612	38	10840577.4309801
12137	663	37	9965451.31534942
11931	610	34	9691659.24893195
12135	648	32	10989417.1025781
11842	597	35	11428791.6638188
11999	587	30	12165480.9755144
11811	614	30	9279825.94495426
11716	609	35	10505323.2434479
11973	643	34	9113510.28316158
11952	615	32	10178054.5813121
11928	622	29	11037172.0772757
11634	647	33	10842234.0872704
11662	610	30	9727049.51190826
11673	619	31	9927598.36964563
12297	643	33	8758917.18933934
12431	658	41	9507385.27300511
11598	617	34	10941857.5662927
11716	595	33	8328473.60343474
11802	594	31	10026537.3899026
12069	635	30	9989605.19361836
11669	620	34	9641587.79308065
11873	616	34	11281196.9069094
12081	638	30	8271805.5256727
11628	646	33	11714062.035173
12155	648	35	10263151.944272
12241	615	34	9139498.71242465
11774	607	39	11271900.4959876
11582	617	31	12442726.6779016
12047	621	32	9993087.84156212
11671	641	38	9960963.9944137
12059	584	29	9813734.83713624
12336	644	35	9578640.86700068
11843	614	32	10429126.418151
11922	592	34	9719663.26408226
11740	644	27	10274119.445917
12183	618	33	10310816.833604
11247	616	37	11407834.2330614
12366	654	30	9049168.81429212
11885	620	36	10274977.3171454
11612	623	32	10264962.9703341
11958	603	33	9750016.71990136
11734	635	36	9733204.86122816
11723	634	34	9790238.08130746
11538	618	30	11000737.4573725
11541	601	30	9292206.65931333
11816	623	26	9373135.23970157
11786	624	31	9836981.27023813
11761	576	32	9265268.14949483
12162	591	36	9980491.53398701
12040	640	37	9367479.24661886
11887	660	33	11252546.1124828
11769	569	35	9805312.12318986
11901	666	36	11498208.4587585
11652	600	35	10299013.2597873
11850	608	35	8344538.30546064
11672	622	33	11327322.8087374
12066	661	35	10821004.445831
12077	655	36	9393426.31810857
12253	641	30	10944749.6573242
11906	624	29	9644592.5717502
11662	610	34	12041311.2991775
11720	604	33	11251043.1947302
11714	612	35	9958724.97262766
11882	652	34	11952581.285864
11823	613	29	10744503.6256539
11643	641	36	11534525.6183674
12295	656	35	9734659.36114586
11901	625	33	11284796.7420309
11891	625	35	10236827.7021409
11919	622	34	11414396.7226214
12143	633	32	9043600.89290979
11775	618	34	12613968.6845485
11806	602	37	9952344.67815694
11977	662	36	9002719.23179832
11963	617	31	10612474.2856609
11936	618	34	9724745.23795865
11755	620	38	10200166.6022449
11620	598	29	9812518.63159952
11793	594	34	9025697.43033343
11985	661	32	9553265.72947299
11944	638	35	10242947.5853736
11387	590	27	12582755.1919706
11911	616	32	8033677.16325896
11921	631	31	10126309.2578206
11746	626	34	9193420.77597265
11011	582	26	11622220.7658754
12016	617	36	8921977.52236888
12440	623	35	10035198.9810454
11754	681	35	10496288.4162804
12033	627	34	9602118.95237706
11794	636	32	8461900.7972792
11776	646	33	11009881.1277913
11708	622	33	8929163.33241719
12091	651	32	9994293.47780677
11520	603	31	9736128.04637869
11783	656	31	9864657.33627362
11907	618	36	9041285.26023751
11923	629	33	9224942.9941821
11870	637	27	9936938.60264711
11847	610	35	8822986.58961565
12117	589	30	8643786.99815055
11995	622	29	8564688.29714487
11635	598	35	9870407.8421703
11499	618	34	12835677.9402285
11583	636	38	10836969.0309754
11522	627	32	10204158.2491734
12131	625	31	9015172.35514493
11713	595	34	11037900.3278189
11858	633	31	10597419.1692705
12270	636	33	8926856.48422679
12290	652	32	12701425.2867269
11775	620	32	12732599.294485
11886	583	34	9785649.23387109
11933	573	26	9274567.08050586
11859	604	31	10452404.5146533
11828	646	35	10943736.5485947
11826	638	32	9776122.15872309
11857	615	35	8827251.17790993
11622	611	32	10615198.2978172
11479	656	31	11962856.6467001
11752	604	29	9966511.58359559
11490	606	32	10009842.0378766
11815	646	36	10062886.8631767
11527	626	29	10749999.1196532
11629	639	32	9662845.74100233
11976	636	32	11552039.8136424
11612	605	31	10583411.7719129
12184	648	33	9287267.79162888
12321	629	31	9734183.60575669
11898	567	29	10484369.2141364
11746	640	27	8682987.87662051
11843	613	29	10755361.7216419
11666	619	30	10486042.6637319
12118	586	31	9261122.48005972
11553	611	30	13423066.3172416
12000	610	29	10156356.0774485
11686	618	32	11080528.3702726
11743	633	36	11476344.5579226
11448	602	28	12309662.4292272
11894	596	33	8373160.79772816
11568	599	34	10239146.1641202
12176	648	32	9521200.747196
12139	620	39	9307339.96546684
11795	650	39	9720225.85217494
11872	648	30	10326205.4933882
12015	590	33	10524353.0697507
11468	637	33	10819766.2300091
11683	647	37	10468610.4666314
11802	633	37	10344015.1657382
